(640,2953,187.0)
(640,2955,187.0)
(659,661,1.0)
(713,752,93.5)
(713,1072,1.3333333333333333)
(713,1620,184.33333333333331)
(713,2976,93.5)
(752,1072,94.5)
(752,2976,1.0)
(780,871,14.5)
(780,915,3.5)
(780,1136,780.0)
(780,1197,90.5)
(780,1206,90.5)
(780,1355,158.0)
(780,1408,189.0)
(780,1418,764.7499999999999)
(780,1498,108.5)
(780,1508,14.75)
(780,1648,13.749999999999996)
(780,1918,16.25)
(780,2005,27.0)
(780,2097,90.5)
(780,2332,90.5)
(780,2374,90.5)
(780,2414,96.5)
(780,2694,90.5)
(780,2696,90.5)
(780,2801,90.5)
(780,3000,90.5)
(780,3063,90.5)
(780,3102,90.5)
(780,3128,90.5)
(780,3268,90.5)
(871,915,12.0)
(871,1136,82.5)
(871,1418,76.25)
(871,1508,1.25)
(871,1648,2.25)
(871,1918,1.75)
(909,1136,102.5)
(909,1418,86.5)
(915,1136,624.5)
(915,1197,86.5)
(915,1206,86.5)
(915,1355,115.99999999999999)
(915,1418,612.25)
(915,1508,12.25)
(915,1648,13.249999999999996)
(915,1918,12.75)
(915,2097,86.5)
(915,2332,86.5)
(915,2374,86.5)
(915,2414,92.5)
(915,2694,86.5)
(915,2696,86.5)
(915,2801,86.5)
(915,3000,86.5)
(915,3063,86.5)
(915,3102,86.5)
(915,3128,86.5)
(915,3268,86.5)
(1072,1270,3.3333333333333335)
(1072,1620,184.0)
(1072,2976,94.5)
(1136,1355,1861.9999999999998)
(1136,1418,7.750000000000003)
(1136,1508,82.75)
(1136,1648,160.74999999999997)
(1136,1723,29.0)
(1136,1761,4234.0)
(1136,1913,189.0)
(1136,1918,158.24999999999997)
(1136,2005,162.0)
(1136,2739,102.5)
(1136,2901,29.0)
(1136,2997,189.0)
(1197,1206,1.0)
(1197,2097,1.0)
(1197,2332,1.0)
(1197,2374,1.0)
(1197,2694,1.0)
(1197,2696,1.0)
(1197,2801,1.0)
(1197,3000,1.0)
(1197,3063,1.0)
(1197,3102,1.0)
(1197,3128,1.0)
(1197,3268,1.0)
(1206,2097,1.0)
(1206,2332,1.0)
(1206,2374,1.0)
(1206,2694,1.0)
(1206,2696,1.0)
(1206,2801,1.0)
(1206,3000,1.0)
(1206,3063,1.0)
(1206,3102,1.0)
(1206,3128,1.0)
(1206,3268,1.0)
(1245,1794,1.5)
(1245,1866,2.0)
(1245,2150,1.5)
(1270,1620,92.33333333333333)
(1418,1508,76.0)
(1418,1648,152.0)
(1418,1723,13.0)
(1418,1761,1898.0)
(1418,2739,86.5)
(1418,2901,13.0)
(1498,1648,79.5)
(1508,1648,2.0)
(1565,1620,94.0)
(1620,1761,3289.0)
(1620,2575,93.5)
(1620,3280,93.5)
(1723,1761,146.0)
(1723,2901,1.0)
(1761,1861,189.0)
(1761,2901,146.0)
(1794,2150,1.0)
(2097,2332,1.0)
(2097,2374,1.0)
(2097,2694,1.0)
(2097,2696,1.0)
(2097,2801,1.0)
(2097,3000,1.0)
(2097,3063,1.0)
(2097,3102,1.0)
(2097,3128,1.0)
(2097,3268,1.0)
(2332,2374,1.0)
(2332,2694,1.0)
(2332,2696,1.0)
(2332,2801,1.0)
(2332,3000,1.0)
(2332,3063,1.0)
(2332,3102,1.0)
(2332,3128,1.0)
(2332,3268,1.0)
(2374,2694,1.0)
(2374,2696,1.0)
(2374,2801,1.0)
(2374,3000,1.0)
(2374,3063,1.0)
(2374,3102,1.0)
(2374,3128,1.0)
(2374,3268,1.0)
(2517,2744,1.0)
(2575,3280,1.0)
(2694,2696,1.0)
(2694,2801,1.0)
(2694,3000,1.0)
(2694,3063,1.0)
(2694,3102,1.0)
(2694,3128,1.0)
(2694,3268,1.0)
(2696,2801,1.0)
(2696,3000,1.0)
(2696,3063,1.0)
(2696,3102,1.0)
(2696,3128,1.0)
(2696,3268,1.0)
(2801,3000,1.0)
(2801,3063,1.0)
(2801,3102,1.0)
(2801,3128,1.0)
(2801,3268,1.0)
(2862,2985,1.0)
(2876,2953,1.0)
(2876,2955,1.0)
(2953,2955,1.0)
(3000,3063,1.0)
(3000,3102,1.0)
(3000,3128,1.0)
(3000,3268,1.0)
(3063,3102,1.0)
(3063,3128,1.0)
(3063,3268,1.0)
(3102,3128,1.0)
(3102,3268,1.0)
(3128,3268,1.0)
